49,94,105,143,183,0,0
50,95,106,144,184,0,0
51,96,107,145,185,0,0
52,97,108,146,186,0,0
53,98,109,147,187,0,0
54,85,110,148,188,0,0
55,86,111,149,189,0,0
56,87,112,150,190,0,0
43,88,99,151,191,0,0
44,89,100,152,192,0,0
45,90,101,153,193,0,0
46,91,102,154,194,0,0
47,92,103,141,195,0,0
48,93,104,142,196,0,0
15,74,111,114,158,183,197
16,75,112,115,159,184,198
17,76,99,116,160,185,199
18,77,100,117,161,186,200
19,78,101,118,162,187,201
20,79,102,119,163,188,202
21,80,103,120,164,189,203
22,81,104,121,165,190,204
23,82,105,122,166,191,205
24,83,106,123,167,192,206
25,84,107,124,168,193,207
26,71,108,125,155,194,208
27,72,109,126,156,195,209
28,73,110,113,157,196,210
24,40,84,115,139,197,211
25,41,71,116,140,198,212
26,42,72,117,127,199,213
27,29,73,118,128,200,214
28,30,74,119,129,201,215
15,31,75,120,130,202,216
16,32,76,121,131,203,217
17,33,77,122,132,204,218
18,34,78,123,133,205,219
19,35,79,124,134,206,220
20,36,80,125,135,207,221
21,37,81,126,136,208,222
22,38,82,113,137,209,223
23,39,83,114,138,210,224
2,54,92,152,211,225,0
3,55,93,153,212,226,0
4,56,94,154,213,227,0
5,43,95,141,214,228,0
6,44,96,142,215,229,0
7,45,97,143,216,230,0
8,46,98,144,217,231,0
9,47,85,145,218,232,0
10,48,86,146,219,233,0
11,49,87,147,220,234,0
12,50,88,148,221,235,0
13,51,89,149,222,236,0
14,52,90,150,223,237,0
1,53,91,151,224,238,0
47,65,143,160,173,225,239
48,66,144,161,174,226,240
49,67,145,162,175,227,241
50,68,146,163,176,228,242
51,69,147,164,177,229,243
52,70,148,165,178,230,244
53,57,149,166,179,231,245
54,58,150,167,180,232,246
55,59,151,168,181,233,247
56,60,152,155,182,234,248
43,61,153,156,169,235,249
44,62,154,157,170,236,250
45,63,141,158,171,237,251
46,64,142,159,172,238,252
18,29,79,114,239,253,0
19,30,80,115,240,254,0
20,31,81,116,241,255,0
21,32,82,117,242,256,0
22,33,83,118,243,257,0
23,34,84,119,244,258,0
24,35,71,120,245,259,0
25,36,72,121,246,260,0
26,37,73,122,247,261,0
27,38,74,123,248,262,0
28,39,75,124,249,263,0
15,40,76,125,250,264,0
